id,correct_url
87,https://sos.oregon.gov/audits/Documents/2024-27.pdf
34,https://www.auditor.illinois.gov/Audit-Reports/Performance-Special-Multi/Performance-Audits/2025_Releases/25-HFS-HBIS-HBIA-Perf-Full.pdf
91,https://sos.oregon.gov/audits/Documents/2024-29.pdf
100,https://sos.oregon.gov/audits/Documents/2023-25.pdf
102,https://sos.oregon.gov/audits/Documents/2021-37.pdf
104,https://app2.lla.state.la.us/publicreports.nsf/0/bcd9d00e72853d6d86258c44006e1020/$file/00006f7eb.pdf?openelement&.7773098
105,https://app.lla.la.gov/publicreports.nsf/0/f1bd7d40a4a9385186258c4b0056ee03/$file/0006fc8a.pdf
106,https://information.auditor.ca.gov/pdfs/reports/2021-046.pdf
110,https://www.azauditor.gov/sites/default/files/2023-11/22-111_Report.pdf
111,https://flauditor.gov/pages/pdf_files/2021-013.pdf
112,https://flauditor.gov/pages/pdf_files/2024-030.pdf
113,https://www.auditor.ca.gov/wp-content/uploads/2024/11/2023-046-Report.pdf
114,https://sao.texas.gov/Reports/Main/23-005.pdf
116,https://information.auditor.ca.gov/reports/2020-613/index.html
